%t1 c1
1000.009 0.07732
1000.169 0.07813
1000.319 0.07727
1000.479 0.07849
1000.639 0.07801
1000.799 0.07844
1000.949 0.0772
1001.109 0.07809
1001.269 0.07814
1001.429 0.07808
1001.579 0.07691
1001.739 0.07821
1001.899 0.07867
1002.059 0.07829
1002.209 0.07725
1002.369 0.07808
1002.519 0.07711
1002.679 0.07828
1002.839 0.07792
1002.999 0.07832
1003.149 0.07732
1003.309 0.07814
1003.469 0.07807
1003.629 0.07821
1003.779 0.0771
1003.939 0.07805
1004.099 0.07874
1004.259 0.07832
1004.409 0.07737
1004.569 0.07783
1004.719 0.07665
1004.879 0.0779
1005.039 0.0775
1005.199 0.07791
1005.349 0.0771
1005.509 0.07812
1005.669 0.07813
1005.829 0.07825
1005.979 0.07728
1006.139 0.07849
1006.299 0.0791
1006.459 0.07874
1006.609 0.07778
1006.769 0.07858
1006.919 0.07761
1007.079 0.07867
1007.239 0.07814
1007.399 0.07856
1007.549 0.07765
1007.709 0.07864
1007.869 0.07874
1008.029 0.07875
1008.179 0.07759
1008.339 0.07876
1008.499 0.07927
1008.659 0.07882
1008.809 0.07782
1008.969 0.07869
1009.119 0.07767
1009.279 0.07882
1009.439 0.07839
1009.599 0.07877
1009.749 0.07763
1009.909 0.07842
1010.069 0.07851
1010.229 0.0784
1010.379 0.07712
1010.539 0.0781
1010.699 0.07855
1010.859 0.07809
1011.009 0.07726
1011.169 0.07816
1011.319 0.07726
1011.479 0.07842
1011.639 0.07796
1011.799 0.07836
1011.949 0.07726
1012.109 0.07834
1012.269 0.07859
1012.429 0.07857
1012.579 0.07738
1012.739 0.0785
1012.899 0.07899
1013.059 0.0788
1013.209 0.07798
1013.369 0.07883
1013.519 0.07791
1013.679 0.07893
1013.839 0.07848
1013.999 0.07886
1014.149 0.07776
1014.309 0.07891
1014.469 0.07902
1014.629 0.07902
1014.779 0.07793
1014.939 0.07911
1015.099 0.07954
1015.259 0.07913
1015.409 0.07829
1015.569 0.07906
1015.719 0.07814
1015.879 0.07929
1016.039 0.07872
1016.199 0.0791
1016.349 0.07802
1016.509 0.07902
1016.669 0.07924
1016.829 0.07929
1016.979 0.07814
1017.139 0.0793
1017.299 0.07986
1017.459 0.07945
1017.609 0.07859
1017.769 0.07943
1017.919 0.07847
1018.079 0.07961
1018.239 0.07919
1018.399 0.07959
1018.549 0.07845
1018.709 0.07949
1018.869 0.07969
1019.029 0.07964
1019.179 0.07857
1019.339 0.07972
1019.499 0.08026
1019.659 0.07989
1019.809 0.07907
1019.969 0.07984
1020.119 0.07901
1020.279 0.08011
1020.439 0.07974
1020.599 0.08018
1020.749 0.07892
1020.909 0.07989
1021.069 0.08027
1021.229 0.08031
1021.379 0.07923
1021.539 0.08041
1021.699 0.08101
1021.859 0.08063
1022.009 0.07998
1022.169 0.08076
1022.319 0.07982
1022.479 0.08088
1022.639 0.08067
1022.799 0.08098
1022.949 0.07987
1023.109 0.08094
1023.269 0.08144
1023.429 0.08146
1023.579 0.08059
1023.739 0.0817
1023.889 0.08086
1024.049 0.08044
1024.209 0.0799
1024.369 0.08057
1024.519 0.07954
1024.679 0.08054
1024.839 0.08035
1024.999 0.0808
1025.149 0.07973
1025.309 0.08084
1025.469 0.08147
1025.629 0.08151
1025.779 0.08068
1025.939 0.08184
1026.089 0.08066
1026.249 0.08018
1026.409 0.07964
1026.569 0.08035
1026.719 0.07939
1026.879 0.08041
1027.039 0.0804
1027.199 0.08087
1027.349 0.07984
1027.509 0.08089
1027.669 0.08153
1027.829 0.08143
1027.979 0.08062
1028.139 0.08156
1028.289 0.08057
1028.449 0.08014
1028.609 0.07977
1028.769 0.0804
1028.919 0.07938
1029.079 0.08038
1029.239 0.08047
1029.399 0.08099
1029.549 0.08009
1029.709 0.08103
1029.869 0.08173
1030.029 0.08156
1030.179 0.08077
1030.339 0.08178
1030.489 0.08073
1030.649 0.08032
1030.809 0.08008
1030.969 0.08082
1031.119 0.07973
1031.279 0.08074
1031.439 0.08086
1031.599 0.08118
1031.749 0.08022
1031.909 0.08137
1032.069 0.08198
1032.229 0.08191
1032.379 0.08127
1032.539 0.08232
1032.689 0.08121
1032.849 0.08062
1033.009 0.08032
1033.169 0.08098
1033.319 0.08002
1033.479 0.08091
1033.639 0.08099
1033.799 0.08128
1033.949 0.08025
1034.109 0.08141
1034.269 0.08219
1034.429 0.082
1034.579 0.08119
1034.739 0.08223
1034.889 0.08113
1035.049 0.08057
1035.209 0.08022
1035.369 0.08076
1035.519 0.07985
1035.679 0.08085
1035.839 0.08092
1035.999 0.08106
1036.149 0.08011
1036.309 0.08136
1036.469 0.082
1036.629 0.08172
1036.779 0.08085
1036.939 0.08178
1037.089 0.08065
1037.249 0.0817
1037.409 0.08137
1037.569 0.08187
1037.719 0.08092
1037.879 0.08195
1038.039 0.08201
1038.199 0.08206
1038.349 0.08093
1038.509 0.08201
1038.669 0.08258
1038.829 0.08206
1038.979 0.08106
1039.139 0.08183
1039.289 0.08075
1039.449 0.08201
1039.609 0.08167
1039.769 0.08197
1039.919 0.08104
1040.079 0.08203
1040.239 0.08205
1040.399 0.08198
1040.549 0.08074
1040.709 0.08171
1040.869 0.08226
1041.029 0.08174
1041.179 0.08088
1041.339 0.08162
