%Time3 coef_friccion3
0.356 0.13233
0.506 0.08035
0.656 0.07886
0.816 0.07086
0.966 0.08273
1.126 0.08473
1.286 0.0797
1.446 0.07442
1.596 0.08089
1.756 0.08181
1.916 0.07949
2.076 0.07657
2.226 0.07893
2.386 0.07805
2.546 0.0761
2.706 0.07564
2.856 0.07722
3.016 0.07559
3.176 0.07185
3.336 0.07004
3.486 0.06988
3.646 0.0686
3.796 0.07157
3.956 0.07298
4.116 0.07254
4.276 0.07086
4.426 0.07314
4.586 0.07364
4.746 0.07292
4.906 0.07239
5.056 0.07364
5.216 0.07327
5.376 0.07128
5.536 0.07034
5.686 0.07113
5.846 0.07114
6.006 0.0701
6.166 0.06958
6.316 0.06956
6.476 0.0689
6.626 0.07076
6.786 0.07149
6.946 0.071
7.106 0.0702
7.256 0.07153
7.416 0.07184
7.576 0.07106
7.736 0.07051
7.886 0.07135
8.046 0.07114
8.206 0.07034
8.366 0.0697
8.516 0.07006
8.676 0.06957
8.836 0.06839
8.996 0.06809
9.146 0.0683
9.306 0.06787
9.456 0.06912
9.616 0.06977
9.776 0.06947
9.936 0.06898
10.086 0.0704
10.246 0.0706
10.406 0.07004
10.566 0.06947
10.716 0.07013
10.876 0.07008
11.036 0.06941
11.196 0.06884
11.346 0.06934
11.506 0.06893
11.666 0.06812
11.826 0.06773
11.976 0.06786
12.136 0.06737
12.286 0.06856
12.446 0.0691
12.606 0.06893
12.766 0.06839
12.916 0.06946
13.076 0.06972
13.236 0.0694
13.396 0.06897
13.546 0.06973
13.706 0.06901
13.866 0.06875
14.026 0.06802
14.176 0.06873
14.336 0.06787
14.496 0.06702
14.656 0.06692
14.806 0.06734
14.966 0.06609
15.123 0.06527
15.283 0.06489
15.433 0.06595
15.593 0.06537
15.753 0.06489
15.913 0.06472
16.063 0.06502
16.223 0.0643
16.383 0.0638
16.543 0.06431
16.693 0.06481
16.853 0.0644
17.003 0.06576
17.163 0.06538
17.323 0.06468
17.483 0.06421
17.633 0.06552
17.793 0.06485
17.953 0.06415
18.113 0.06392
18.263 0.06474
18.423 0.06425
18.583 0.06385
18.743 0.06429
18.893 0.06499
19.053 0.06434
19.213 0.06352
19.373 0.06359
19.523 0.0638
19.683 0.06341
19.833 0.06464
19.993 0.06404
20.153 0.06337
20.313 0.06306
20.463 0.06436
20.623 0.06378
20.783 0.06313
20.943 0.06315
21.093 0.06397
21.253 0.06329
21.413 0.06277
21.573 0.06287
21.723 0.06356
21.883 0.06315
22.043 0.06277
22.203 0.06325
22.353 0.06338
22.513 0.0627
22.663 0.06405
22.823 0.06361
22.983 0.06299
23.143 0.06273
23.293 0.06382
23.453 0.0628
23.613 0.06213
23.773 0.06227
23.923 0.06327
24.083 0.06271
24.243 0.06201
24.403 0.06217
24.553 0.06271
24.713 0.062
24.873 0.06173
25.033 0.06226
25.183 0.06265
25.343 0.06215
25.493 0.06353
25.653 0.06278
25.813 0.06191
25.973 0.06149
26.123 0.06282
26.283 0.06174
26.443 0.06096
26.603 0.0607
26.753 0.06156
26.913 0.06067
27.073 0.06014
27.233 0.06065
27.383 0.06157
27.543 0.06078
27.703 0.06018
27.863 0.06041
28.013 0.06059
28.173 0.06012
28.323 0.06156
28.483 0.06243
28.643 0.06266
28.803 0.06131
28.953 0.06216
29.113 0.06278
29.273 0.06274
29.433 0.06202
29.583 0.06281
29.743 0.06325
29.903 0.06284
30.063 0.06223
30.213 0.06284
30.373 0.06155
30.523 0.06227
30.683 0.063
30.843 0.06347
31.003 0.06209
31.153 0.06291
31.313 0.06367
31.473 0.06388
31.633 0.06272
31.783 0.06347
31.943 0.06387
32.103 0.06354
32.263 0.06265
32.413 0.06349
32.573 0.06409
32.733 0.0639
32.893 0.06372
33.043 0.06417
33.203 0.06283
33.353 0.06367
33.513 0.06442
33.673 0.06493
33.833 0.06365
33.983 0.06441
34.143 0.06514
34.303 0.06506
34.463 0.06391
34.613 0.0648
34.773 0.06543
34.933 0.06543
35.093 0.06464
35.243 0.06522
35.403 0.06582
35.563 0.06537
35.723 0.06509
35.873 0.06586
36.033 0.06442
36.183 0.0651
36.343 0.06576
36.503 0.06602
36.663 0.06476
36.813 0.06563
36.973 0.0664
37.133 0.06634
37.293 0.0652
37.443 0.06586
37.603 0.06657
37.763 0.06638
37.923 0.0659
38.073 0.06664
38.233 0.06695
38.393 0.06642
38.553 0.06585
38.703 0.06631
38.863 0.06504
39.013 0.06584
39.173 0.06663
39.333 0.06702
39.493 0.0657
39.643 0.06664
39.803 0.06745
39.963 0.06767
40.123 0.06674
40.273 0.06747
40.433 0.06792
40.593 0.06759
40.753 0.06683
40.903 0.06755
41.063 0.0681
41.223 0.06791
41.383 0.06783
41.533 0.06835
41.693 0.06697
41.843 0.06782
42.003 0.06857
42.163 0.06902
42.323 0.06776
42.473 0.06848
42.633 0.06908
42.793 0.06893
42.953 0.06778
43.103 0.06876
43.263 0.06943
43.423 0.06943
43.576 0.06962
43.736 0.06945
43.896 0.06764
44.046 0.06792
44.206 0.06805
44.366 0.06807
44.526 0.06669
44.676 0.06677
44.836 0.06664
44.996 0.06631
45.156 0.06513
45.306 0.0654
45.466 0.06561
45.616 0.0672
45.776 0.06718
45.936 0.0672
46.096 0.06721
46.246 0.06837
46.406 0.0686
46.566 0.0687
46.726 0.06689
46.876 0.06704
47.036 0.06694
47.196 0.06661
47.356 0.06522
47.506 0.06541
47.666 0.06558
47.826 0.0656
47.986 0.06448
48.136 0.06453
48.296 0.06447
48.446 0.06608
48.606 0.06614
48.766 0.06607
48.926 0.06616
49.076 0.06737
49.236 0.06735
49.396 0.06723
49.556 0.06551
49.706 0.06565
49.866 0.06573
50.026 0.06563
50.186 0.06422
50.336 0.06433
50.496 0.06435
50.656 0.06427
50.816 0.06326
50.966 0.0633
51.126 0.06321
51.276 0.06472
51.436 0.06475
51.596 0.06478
51.756 0.06491
51.906 0.06623
52.066 0.06628
52.226 0.06604
52.386 0.06425
52.536 0.06449
52.696 0.06463
52.856 0.06459
53.016 0.06323
53.166 0.06323
53.326 0.06308
53.486 0.0628
53.646 0.06179
53.796 0.06193
53.956 0.06193
54.106 0.06346
54.266 0.06345
54.426 0.06324
54.586 0.06313
54.736 0.06421
54.896 0.06427
55.056 0.06429
55.216 0.06245
55.366 0.06256
55.526 0.06245
55.686 0.06228
55.846 0.06095
55.996 0.06105
56.156 0.06112
56.316 0.06103
56.476 0.05987
56.626 0.05975
56.786 0.05975
56.936 0.06039
57.096 0.06114
57.256 0.06152
57.416 0.06007
57.566 0.0608
57.726 0.06142
57.886 0.0614
58.046 0.06039
58.196 0.06125
58.356 0.06173
58.516 0.06138
58.676 0.06064
58.826 0.06134
58.986 0.05984
59.136 0.06049
59.296 0.06124
59.456 0.06157
59.616 0.05992
