%Time3 coef_friccion3
1000.132 0.06187
1000.292 0.06287
1000.452 0.06326
1000.612 0.06186
1000.762 0.06289
1000.922 0.06327
1001.082 0.06323
1001.242 0.0626
1001.392 0.06346
1001.552 0.06163
1001.702 0.06253
1001.862 0.06343
1002.022 0.06386
1002.182 0.06221
1002.332 0.06336
1002.492 0.06429
1002.652 0.0643
1002.812 0.06304
1002.962 0.06409
1003.122 0.06437
1003.282 0.06414
1003.442 0.06371
1003.592 0.06445
1003.752 0.06254
1003.902 0.06364
1004.062 0.0644
1004.222 0.06468
1004.382 0.06312
1004.532 0.06403
1004.692 0.06475
1004.852 0.06463
1005.012 0.06356
1005.162 0.06457
1005.322 0.06246
1005.472 0.06309
1005.632 0.06398
1005.792 0.06458
1005.952 0.06281
1006.102 0.06378
1006.262 0.06476
1006.422 0.06486
1006.582 0.06343
1006.732 0.06451
1006.892 0.06479
1007.052 0.06488
1007.212 0.06424
1007.362 0.06517
1007.522 0.06304
1007.672 0.06403
1007.832 0.06491
1007.992 0.06505
1008.152 0.06353
1008.302 0.06475
1008.462 0.06542
1008.622 0.06547
1008.782 0.06419
1008.932 0.06498
1009.092 0.06285
1009.242 0.06377
1009.402 0.06474
1009.562 0.06545
1009.722 0.06351
1009.872 0.06472
1010.032 0.06556
1010.192 0.0656
1010.352 0.06412
1010.502 0.06519
1010.662 0.06572
1010.822 0.06535
1010.982 0.06436
1011.132 0.06511
1011.292 0.06303
1011.442 0.06396
1011.602 0.06475
1011.762 0.06512
1011.922 0.06345
1012.072 0.06447
1012.232 0.0651
1012.392 0.06512
1012.552 0.06414
1012.702 0.06491
1012.862 0.06528
1013.022 0.06505
1013.182 0.06461
1013.332 0.06527
1013.492 0.06339
1013.642 0.06446
1013.802 0.0651
1013.962 0.06532
1014.122 0.06403
1014.272 0.06502
1014.432 0.06566
1014.592 0.06548
1014.752 0.0647
1014.902 0.06544
1015.062 0.06336
1015.212 0.06419
1015.372 0.06507
1015.532 0.06547
1015.692 0.06363
1015.842 0.06441
1016.002 0.06506
1016.162 0.06511
1016.322 0.06381
1016.472 0.06479
1016.632 0.06518
1016.792 0.06498
1016.952 0.06441
1017.102 0.06505
1017.262 0.06302
1017.412 0.06392
1017.572 0.0649
1017.732 0.06531
1017.892 0.06387
1018.042 0.06478
1018.202 0.06539
1018.362 0.06544
1018.522 0.06459
1018.672 0.06547
1018.832 0.06361
1018.982 0.06429
1019.142 0.06515
1019.302 0.06557
1019.462 0.06376
1019.612 0.06458
1019.772 0.0653
1019.932 0.06554
1020.092 0.06401
1020.242 0.06494
1020.402 0.06516
1020.562 0.06511
1020.722 0.06449
1020.872 0.06529
1021.032 0.0632
1021.182 0.06413
1021.342 0.06519
1021.502 0.06535
1021.662 0.06345
1021.812 0.06448
1021.972 0.06525
1022.132 0.06533
1022.292 0.06429
1022.442 0.06529
1022.602 0.06314
1022.752 0.06392
1022.912 0.06469
1023.072 0.06527
1023.232 0.06323
1023.382 0.06414
1023.542 0.06512
1023.702 0.06533
1023.862 0.06375
1024.012 0.06479
1024.172 0.06546
1024.332 0.0655
1024.492 0.06474
1024.642 0.06575
1024.802 0.0639
1024.952 0.06496
1025.112 0.0658
1025.272 0.06629
1025.432 0.0645
1025.582 0.06561
1025.742 0.06654
1025.902 0.06664
1026.062 0.06544
1026.212 0.0664
1026.372 0.0668
1026.532 0.06681
1026.692 0.06623
1026.842 0.06703
1027.002 0.06522
1027.152 0.06618
1027.312 0.06715
1027.472 0.06725
1027.632 0.06587
1027.782 0.06703
1027.942 0.0679
1028.102 0.06769
1028.262 0.06676
1028.412 0.06784
1028.572 0.06593
1028.732 0.06485
1028.892 0.06462
1029.042 0.06532
1029.202 0.06353
1029.352 0.06479
1029.512 0.06592
1029.672 0.06608
1029.832 0.06484
1029.982 0.06606
1030.142 0.06662
1030.302 0.06647
1030.462 0.06578
1030.612 0.06698
1030.772 0.06527
1030.922 0.06653
1031.082 0.06766
1031.242 0.06838
1031.402 0.06676
1031.552 0.06841
1031.712 0.06965
1031.872 0.06972
1032.032 0.06875
1032.182 0.07003
1032.342 0.06848
1032.502 0.06705
1032.662 0.06674
1032.812 0.0679
1032.972 0.06642
1033.132 0.06559
1033.292 0.0656
1033.442 0.06631
1033.602 0.06504
1033.752 0.06659
1033.912 0.06775
1034.072 0.06777
1034.232 0.06697
1034.382 0.06856
1034.542 0.06718
1034.702 0.06594
1034.862 0.06561
1035.012 0.06683
1035.172 0.06552
1035.332 0.06475
1035.492 0.06506
1035.642 0.06585
1035.802 0.0647
1035.952 0.0665
1036.112 0.06539
1036.272 0.06438
